cluster,name,type,percent
C,01,al,13.05143469
C,02,al,52.86381578
C,03,al,10.66469152
C,04,al,15.44144934
C,05,al,7.978608663
C,01,blu,4.884155536
C,02,blu,15.78243369
C,03,blu,3.946369703
C,04,blu,15.05239307
C,05,blu,10.55068273
C,06,blu,17.35405673
C,07,blu,4.772726504
C,08,blu,2.137678013
C,09,blu,10.59094605
C,10,blu,1.586284755
C,11,blu,4.656786175
C,12,blu,8.685487045
C,01,fou,15.44093818
C,02,fou,10.66888309
C,03,fou,52.85676167
C,04,fou,13.04274485
C,05,fou,7.990672216
C,01,lin,5.987097174
C,02,lin,9.702227255
C,03,lin,13.29276587
C,04,lin,47.60056096
C,05,lin,11.07428111
C,06,lin,12.34306763
C,01,lip,14.15018649
C,02,lip,11.90596357
C,03,lip,47.87935383
C,04,lip,6.476145634
C,05,lip,9.519070344
C,06,lip,10.06928014
C,01,sha,11.91407208
C,02,sha,15.58248489
C,03,sha,10.06169152
C,04,sha,10.3517234
C,05,sha,9.022557337
C,06,sha,4.807410528
C,07,sha,27.655911
C,08,sha,2.565763409
C,09,sha,8.038385833
